query	no	token	pos
경주여행	11	85	SN
경주여행	11	84	SN
경주여행	11	EC	SL
경주여행	11	98	SN
경주여행	11	EC	SL
경주여행	11	97	SN
경주여행	11	AD	SL
경주여행	11	EC	SL
경주여행	11	82	SN
경주여행	11	AC	SL
경주여행	11	EC	SL
경주여행	11	99	SN
경주여행	11	80	SN
경주여행	11	EA	SL
경주여행	11	90	SN
경주여행	11	EC	SL
경주여행	11	84	SN
경주여행	11	EC	SL
경주여행	11	97	SN
경주여행	11	AC	SL
경주여행	11	ED	SL
경주여행	11	96	SN
경주여행	11	89	SN
경주여행	11	EA	SL
경주여행	11	BD	SL
경주여행	11	EC	SL
경주여행	11	BC	SL
경주여행	11	ED	SL
경주여행	11	95	SN
경주여행	11	84	SN
경주여행	11	EC	SL
경주여행	11	88	SN
경주여행	11	98	SN
경주여행	11	EC	SL
경주여행	11	BD	SL
경주여행	11	94	SN
경주여행	11	EC	SL
경주여행	11	EC	SL
경주여행	12	질문	NNG
경주여행	12	코스	NNG
경주여행	12	는데요	EF
경주여행	12	이렇게	MAG
경주여행	12	나요	EF
경주여행	12	그리고	MAJ
경주여행	12	시내	NNG
경주여행	12	숙소	NNG
경주여행	12	인데	VCP+EC
경주여행	12	첨성대	NNG
경주여행	12	코스	NNG
경주여행	12	황리	NNG
경주여행	12	도보이	NNP
경주여행	12	가능	NNG
경주여행	12	가요	NNG
경주여행	12	아니	VCN
경주여행	12	하나	NR
경주여행	12	불국사	NNG
경주여행	12	숙소	NNG
경주여행	12	불국사	NNG
경주여행	12	석굴암	NNG
경주여행	12	바람	NNG
경주여행	12	언덕	NNG
경주여행	12	숙소	NNG
경주여행	12	체크인	NNG
경주여행	13	려고	EC
경주여행	13	는데	EC
경주여행	13	펜션	NNG
경주여행	13	이나	JC
경주여행	13	호텔	NNG
경주여행	13	예약	NNG
경주여행	13	부터	JX
경주여행	13	을까요	EC
경주여행	13	제일	MAG
경주여행	13	습니다	EF
경주여행	13	날짜	NNG
경주여행	13	성수기	NNG
경주여행	13	라면	VCP+EC
경주여행	14	당일치기	NNG
경주여행	14	질문	NNG
경주여행	14	인데	VCP+EC
경주여행	14	할지	VV+EC
경주여행	14	당일	NNG
경주여행	14	올지	VX+EC
경주여행	14	모르	VV
경주여행	14	는데	EC
경주여행	14	우선	MAG
경주여행	14	당일	NNG
경주여행	14	아요	EF
경주여행	14	오전	NNG
경주여행	14	11	SN
경주여행	14	터미널	NNG
경주여행	14	도착	NNG
경주여행	14	오후	NNG
경주여행	14	터미널	NNG
경주여행	14	에서	JKB
경주여행	14	버스	NNG
경주여행	14	11	SN
경주여행	14	버스	NNG
경주여행	14	터미널	NNG
경주여행	14	도착	NNG
경주여행	14	한다고	XSV+EC
경주여행	14	황리	NNG
경주여행	14	대릉원	NNG
경주여행	14	첨성대	NNG
경주여행	14	정교	NNG
경주여행	14	동궁	NNG
경주여행	14	월지	NNG
경주여행	15	볼까	EC+VX+EC
경주여행	15	는데요	EF
경주여행	15	다른	MM
경주여행	15	특별히	MAG
경주여행	15	려고요	EC
경주여행	15	준비	NNG
경주여행	15	면서	EC
경주여행	15	진짜	MAG
경주여행	15	헤맸	VV+EP
경주여행	15	는데요	EF
경주여행	15	시티투어	NNP
경주여행	15	탈까	VV+EC
경주여행	15	그냥	MAG
경주여행	15	블로그	NNG
경주여행	15	시작	NNG
경주여행	15	세요	EP+EF
경주여행	15	걸음	NNG
경주여행	15	없이	MAG
경주여행	15	즐기	VV
경주여행	15	다면	EC
경주여행	15	여기	NP
경주여행	15	부터	JX
경주여행	15	추천	NNG
경주여행	15	드립니다	VV+EC
경주여행	16	어때요	VA+EF
경주여행	16	고등학생	NNG
경주여행	16	시절	NNG
경주여행	16	추억	NNG
경주여행	16	만들	VV
경주여행	16	해요	VX+EF
경주여행	16	..	SY
경주여행	16	어때요	VA+EF
경주여행	16	고등학생	NNG
경주여행	16	시절	NNG
경주여행	16	추억	NNG
경주여행	16	만들	VV
경주여행	16	해요	VX+EF
경주여행	16	로또	NNP
경주여행	16	는데	EC
경주여행	16	해몽	NNG
경주여행	16	해줘요	XSV+EC+VX+EC
경주여행	16	컴퓨터	NNG
경주여행	16	조립식	NNG
경주여행	16	얼마	NNG
경주여행	16	고등학생	NNG
경주여행	16	시절	NNG
경주여행	16	추억	NNG
경주여행	16	만들	VV
경주여행	16	아주	MAG
경주여행	16	선택	NNG
경주여행	16	입니다	VCP+EF
경주여행	16	한국	NNP
경주여행	16	역사	NNG
경주여행	16	문화	NNG
경주여행	16	느낄	VV+ETM
경주여행	16	도시	NNG
경주여행	17	남자	NNG
경주여행	17	혼자	NNG
경주여행	17	일정	NNG
경주여행	17	숙소	NNG
경주여행	17	예약	NNG
경주여행	17	혼자	NNG
경주여행	17	멋지	VA
경주여행	17	계획	NNG
경주여행	17	네요	EC
경주여행	17	여유	NNG
경주여행	17	제대로	MAG
경주여행	17	느낄	VV+ETM
경주여행	17	일정	NNG
경주여행	17	에요	EF
경주여행	17	가성	NNG
경주여행	17	숙소	NNG
경주여행	17	경주역	NNP
경주여행	17	근처	NNG
경주여행	17	게스트	NNP
경주여행	17	하우스	NNP
경주여행	17	황리	NNG
경주여행	17	한옥	NNP
경주여행	17	게스트	NNP
경주여행	17	하우스	NNP
경주여행	17	가격	NNG
경주여행	17	접근성	NNG
경주여행	17	아요	EF
경주여행	17	바닷가	NNG
경주여행	17	이동	NNG
경주여행	18	루트	NNG
경주여행	18	천마총	NNG
경주여행	18	중앙	NNG
경주여행	18	시장	NNG
경주여행	18	일정	NNG
경주여행	18	천마총	NNG
경주여행	18	다가	EC
경주여행	18	중앙	NNG
경주여행	18	시장	NNG
경주여행	18	려고	EC
경주여행	18	는데	EC
경주여행	18	네이버	NNP
경주여행	18	지도	NNG
경주여행	18	검색	NNG
경주여행	18	니까	EC
경주여행	18	다시	MAG
경주여행	18	으로	JKB
경주여행	18	내려갔	VV+EP
경주여행	18	다가	EC
경주여행	18	올라가	VV
경주여행	18	라고	EC
경주여행	18	네요	EC
경주여행	18	동선	NNG
경주여행	18	낭비	NNG
경주여행	18	너무	MAG
경주여행	18	심한	VA+ETM
경주여행	18	지도	NNG
경주여행	18	나온	VV+ETM
경주여행	18	처럼	JKB
경주여행	18	돌아가	VV
경주여행	18	하나	NR
경주여행	18	중간	NNG
경주여행	18	나가	VV
경주여행	18	나요	EC
경주여행	18	천마총	NNG
경주여행	19	20	SN
경주여행	19	중반	NNG
경주여행	19	여성	NNG
경주여행	19	식당	NNG
경주여행	19	술집	NNG
경주여행	19	추천	NNG
경주여행	19	세요	EP+EF
경주여행	19	친구	NNG
경주여행	19	이랑	JC
경주여행	19	는데	EC
경주여행	19	대해서	VV+EC
경주여행	19	마땅히	MAG
경주여행	19	못해서	VX+EC
경주여행	19	막막	XR
경주여행	19	네요	EC
경주여행	19	20	SN
경주여행	19	여자	NNG
경주여행	19	좋아합니다	VV+EC
경주여행	19	황리	NNG
경주여행	19	이랑	JC
경주여행	19	보문	NNG
경주여행	19	단지	MAG
경주여행	19	추천	NNG
경주여행	19	세요	EP+EF
경주여행	19	그리고	MAJ
경주여행	19	맛있	VA
경주여행	19	식당	NNG
경주여행	19	추천	NNG
경주여행	19	부탁	NNG
경주여행	19	드립니다	VV+EC
경주여행	19	하루	NNG
경주여행	19	시내	NNG
경주여행	20	경비	NNG
경주여행	20	어느	MM
경주여행	20	정도	NNG
경주여행	20	나올까요	VV+EF
경주여행	20	숙소	NNG
경주여행	20	교통비	NNG
경주여행	20	고요	EC
경주여행	20	나름	NNB
경주여행	20	지만	EC
경주여행	20	식대	NNG
경주여행	20	입장료	NNG
경주여행	20	간식	NNG
경주여행	20	정도	NNG
경주여행	20	본인	NNG
경주여행	20	주머니	NNG
경주여행	20	만큼	NNB
경주여행	20	생각	NNG
경주여행	20	해서	XSV+EC
경주여행	20	조절	NNG
경주여행	20	네요	EF
경주여행	20	여유	NNG
경주여행	20	다면	EC
경주여행	20	맛있	VA
경주여행	20	해도	VV+EC
경주여행	21	추천	NNG
경주여행	21	이번	NNG
경주여행	21	남자	NNG
경주여행	21	친구	NNG
경주여행	21	전역	NNG
경주여행	21	직전	NNG
경주여행	21	으로	JKB
경주여행	21	는데요	EF
경주여행	21	황리	NNG
경주여행	21	어서요	EC
경주여행	21	어서	EC
경주여행	21	계획	NNG
경주여행	21	계시	VX
경주여행	21	는군요	EC
경주여행	21	다섯	NR
경주여행	21	코스	NNG
경주여행	21	공유	NNG
경주여행	21	내용	NNG
경주여행	21	참고	NNG
경주여행	21	습니다	EF
경주여행	22	아이	NNG
경주여행	22	코스	NNG
경주여행	22	다섯	NR
경주여행	22	아이	NNG
경주여행	22	함께	MAG
경주여행	22	가족	NNG
경주여행	22	갑니다	VV+EC
경주여행	22	첫날	NNG
경주여행	22	점심	NNG
경주여행	22	경주역	NNP
경주여행	22	도착	NNG
경주여행	22	예정	NNG
경주여행	22	숙소	NNG
경주여행	22	보문관광단지	NNP
경주여행	22	근처	NNG
경주여행	22	입니다	VCP+EF
경주여행	22	둘째	NR
경주여행	22	월드	NNG
경주여행	22	다녀오	VV
경주여행	22	오후	NNG
경주여행	22	떠날	VV+ETM
경주여행	22	계획	NNG
경주여행	22	입니다	VCP+EF
경주여행	22	직접	MAG
경주여행	22	운전	NNG
경주여행	22	예정	NNG
경주여행	22	인데	VCP+EC
경주여행	22	코스	NNG
경주여행	22	어떻게	MAG
경주여행	23	추천	NNG
경주여행	23	안녕	NNG
경주여행	23	세영	NNP
경주여행	23	할려고	VV+EC
경주여행	23	10	SN
경주여행	23	인데	VCP+EC
경주여행	23	황리	NNG
경주여행	23	근처	NNG
경주여행	23	어둑	XR
경주여행	23	분위기	NNG
경주여행	23	어요	EF
경주여행	23	가이드	NNG
경주여행	23	교통편	NNG
경주여행	23	맛집	NNG
경주여행	23	볼거리	NNG
경주여행	23	까지	JX
경주여행	23	모두	MAG
경주여행	23	알려	VV+EC
경주여행	23	가이드	NNG
경주여행	23	교통편	NNG
경주여행	23	맛집	NNG
경주여행	23	볼거리	NNG
경주여행	23	까지	JX
경주여행	23	모두	MAG
경주여행	23	알려	VV+EC
경주여행	23	게요	NNB+VCP+EC
경주여행	24	코스	NNG
경주여행	24	지도	NNG
경주여행	24	숙소	NNG
경주여행	24	여자	NNG
경주여행	24	친구	NNG
경주여행	24	같이	MAG
경주여행	24	어요	EF
경주여행	24	가지	VV
경주여행	24	예정	NNG
경주여행	24	인데요	VCP+EF
경주여행	24	어떤	MM
경주여행	24	으로	JKB
경주여행	24	코스	NNG
경주여행	24	을까요	EF
경주여행	24	그리고	MAJ
경주여행	24	코스	NNG
경주여행	24	지도	NNG
경주여행	24	알아보	VV
경주여행	24	면서	EC
경주여행	24	군데	NNBC
경주여행	24	알려	VV+EC
경주여행	24	세요	EP+EF
경주여행	25	동선	NNG
경주여행	25	부탁	NNG
경주여행	25	드려요	VV+EC
경주여행	25	으로	JKB
경주여행	25	어린애	NNG
경주여행	25	데리	VV
경주여행	25	에요	VCP+EF
경주여행	25	숙소	NNG
경주여행	25	보문	NNG
경주여행	25	단지	NNG
경주여행	25	구요	EF
경주여행	25	우선	MAG
경주여행	25	정도	NNG
경주여행	25	다녀온	VV+ETM
경주여행	25	은데요	EC
경주여행	25	아이	NNG
경주여행	25	면서	EC
경주여행	25	체험	NNG
경주여행	25	코스	NNG
경주여행	25	맛집	NNG
경주여행	25	TIP	SL
경주여행	25	코스	NNG
경주여행	25	시내	NNG
경주여행	25	보문관광단지	NNP
경주여행	25	토함산	NNP
경주여행	25	남산	NNG
경주여행	26	갈려고	VV+EC
경주여행	26	24	SN
경주여행	26	괜찮	VA
경주여행	26	을까요	EC
경주여행	26	애인	NNG
경주여행	26	이랑	JC
경주여행	26	갈려고	VV+EC
경주여행	26	는데	EC
경주여행	26	쓸려고	VV+EC
경주여행	26	맘먹	VV
경주여행	26	는데	EC
경주여행	26	24	SN
경주여행	26	충분	XR
경주여행	26	할까요	XSA+EC
경주여행	26	갈려고	VV+EC
경주여행	26	245000	SN
경주여행	26	괜찮	VA
경주여행	26	을까	EC
경주여행	26	애인	NNG
경주여행	26	이랑	JC
경주여행	26	갈려고	VV+EC
경주여행	26	는데	EC
경주여행	26	쓸려고	VV+EC
경주여행	26	맘먹	VV
경주여행	26	는데	EC
경주여행	26	24	SN
경주여행	27	코스	NNG
경주여행	27	코스	NNG
경주여행	27	계획	NNG
경주여행	27	계신	VX+ETM
경주여행	27	다니	VCP+EC
경주여행	27	정말	MAG
경주여행	27	흥미	NNG
경주여행	27	로운	XSA+ETM
경주여행	27	습니다	EF
경주여행	27	신라	NNP
경주여행	27	역사	NNG
경주여행	27	문화	NNG
경주여행	27	아름다운	VA+ETM
경주여행	27	자연	NNG
경주여행	27	경관	NNG
경주여행	27	느낄	VV+ETM
경주여행	27	대한민국	NNP
경주여행	27	대표	NNG
경주여행	27	관광	NNG
경주여행	27	도시	NNG
경주여행	27	입니다	VCP+EC
경주여행	27	동안	NNG
경주여행	27	방문	NNG
경주여행	27	추천	NNG
경주여행	28	실내	NNG
경주여행	28	관광	NNG
경주여행	28	는데	EC
경주여행	28	많이	MAG
경주여행	28	더라고요	EC
경주여행	28	실내	NNG
경주여행	28	추천	NNG
경주여행	28	세요	EP+EF
경주여행	28	검색	NNG
경주여행	28	기반	NNG
경주여행	28	에서	JKB
경주여행	28	실제	NNG
경주여행	28	방문	NNG
경주여행	28	날씨	NNG
경주여행	28	일정	NNG
경주여행	28	따라	VV+EC
경주여행	28	운영	NNG
경주여행	28	시간	NNG
경주여행	28	확인	NNG
경주여행	28	즐거운	VA+ETM
경주여행	28	바랍니다	VV+EF
경주여행	28	채택	NNG
경주여행	29	운전	NNG
경주여행	29	평상시	NNG
경주여행	29	운전	NNG
경주여행	29	제주	NNP
경주여행	29	입니다	VCP+EF
경주여행	29	텍스	NNG
경주여행	29	렌트	NNG
경주여행	29	은데	EC
경주여행	29	초보	NNG
경주여행	29	운전	NNG
경주여행	29	돌아다니	VV
경주여행	29	어렵	VA
경주여행	29	을까요	EC
경주여행	29	그렇게	MAG
경주여행	29	복잡	XR
경주여행	29	지만	EC
경주여행	29	운전	NNG
경주여행	29	자신	NNG
경주여행	29	다면	EC
경주여행	29	조심	NNG
경주여행	29	운전	NNG
경주여행	30	질문	NNG
경주여행	30	거나	EC
경주여행	30	의견	NNG
경주여행	30	부탁	NNG
경주여행	30	드립니다	VV+EC
경주여행	30	바퀴	NNBC
경주여행	30	버스	NNG
경주여행	30	거나	EC
경주여행	30	택시	NNG
경주여행	30	세용	EP+EF
경주여행	30	걸어서	VV+EC
경주여행	30	에요	VCP+EF
경주여행	30	택시	NNG
경주여행	30	힘들	VA
경주여행	30	어요	EF
경주여행	30	부터	JX
경주여행	30	택시	NNG
경주여행	30	관광지	NNG
경주여행	30	에서	JKB
경주여행	30	택시	NNG
경주여행	30	거나	EC
경주여행	30	카카오	NNP
경주여행	30	택시	NNG
경주여행	31	식당	NNG
경주여행	31	추천	NNG
경주여행	31	부탁	NNG
경주여행	31	드립니다	VV+EC
경주여행	31	시간	NNG
경주여행	31	도착	NNG
경주여행	31	는데	EC
경주여행	31	여기	NP
경주여행	31	봐야	VX+EC
경주여행	31	한다	VX+EC
경주여행	31	식당	NNG
경주여행	31	에서	JKB
경주여행	31	특별	NNG
경주여행	31	대접	NNG
경주여행	31	식당	NNG
경주여행	31	추천	NNG
경주여행	31	드리	VX
경주여행	31	습니다	EF
경주여행	31	식당	NNG
경주여행	31	하나	NR
경주여행	31	선택	NNG
경주여행	31	에서	JKB
경주여행	31	특별	NNG
경주여행	31	대접	NNG
경주여행	32	코스	NNG
경주여행	32	당일치기	NNG
경주여행	32	학생	NNG
경주여행	32	코스	NNG
경주여행	32	알려	VV+EC
경주여행	32	세요	EP+EF
경주여행	32	첨성대	NNG
경주여행	32	근처	NNG
경주여행	32	한복	NNG
경주여행	32	나드리	NNG
경주여행	32	에서	JKB
경주여행	32	질문	NNG
경주여행	32	일정	NNG
경주여행	32	관련	NNG
경주여행	32	답변	NNG
경주여행	32	드리	VV
경주여행	32	도록	EC
경주여행	32	습니다	EF
경주여행	32	황리	NNG
경주여행	32	맞춤	NNG
경주여행	32	일정	NNG
경주여행	32	준비	NNG
경주여행	32	어요	EF
경주여행	32	아래	NNG
경주여행	32	첨부	NNG
경주여행	32	일정	NNG
경주여행	32	참고	NNG
경주여행	33	역사	NNG
경주여행	33	의미	NNG
경주여행	33	다녀왔	VV+EP
경주여행	33	는데요	EF
경주여행	33	생각	NNG
경주여행	33	보다	JKB
경주여행	33	재미	NNG
경주여행	33	어요	EF
경주여행	33	너무	MAG
경주여행	33	진지	XR
경주여행	33	공부	NNG
경주여행	33	느낌	NNG
경주여행	33	으로	JKB
경주여행	33	질문	NNG
경주여행	33	관련	NNG
경주여행	33	답변	NNG
경주여행	33	드리	VV
경주여행	33	도록	EC
경주여행	33	습니다	EF
경주여행	33	에서	JKB
경주여행	33	동궁	NNG
경주여행	33	월지	NNG
경주여행	34	코스	NNG
경주여행	34	추천	NNG
경주여행	34	뚜벅	MAG
경주여행	34	위한	VV+ETM
경주여행	34	코스	NNG
경주여행	34	추천	NNG
경주여행	34	부탁	NNG
경주여행	34	드려요	VV+EC
경주여행	34	오붓	XR
경주여행	34	계획	NNG
경주여행	34	계시	VX
경주여행	34	는군요	EC
경주여행	34	대중교통	NNG
경주여행	34	이용	NNG
경주여행	34	해서	XSV+EC
경주여행	34	돌아볼	VV+ETM
경주여행	34	생각	NNG
경주여행	34	라면	EC
경주여행	34	가볍	VA
경주여행	34	코스	NNG
경주여행	34	습니다	EF
경주여행	35	코스	NNG
경주여행	35	추천	NNG
경주여행	35	코스	NNG
경주여행	35	추천	NNG
경주여행	35	가족	NNG
경주여행	35	안녕	NNG
경주여행	35	세요	EP+EF
경주여행	35	계획	NNG
경주여행	35	루트	NNG
경주여행	35	실행	NNG
경주여행	35	실패	NNG
경주여행	35	소개	NNG
경주여행	35	드릴까	VX+EC
경주여행	35	합니다	VX+EF
경주여행	35	한번	MAG
경주여행	35	마음	NNG
경주여행	35	드신	VV+EP+ETM
경주여행	35	다면	NNG
경주여행	35	채택	NNG
경주여행	35	부탁	NNG
경주여행	35	드립니다	VV+EC
경주여행	36	봐야	VX+EC
경주여행	36	맛집	NNG
경주여행	36	리스트	NNG
경주여행	36	무엇	NP
경주여행	36	인가요	VCP+EF
경주여행	36	계획	NNG
경주여행	36	필수	NNG
경주여행	36	방문	NNG
경주여행	36	맛집	NNG
경주여행	36	플레이스	NNG
경주여행	36	습니다	EF
경주여행	36	현지인	NNG
경주여행	36	추천	NNG
경주여행	36	명소	NNG
경주여행	36	봐야	VX+EC
경주여행	36	맛집	NNG
경주여행	36	황남빵	NNP
경주여행	36	식당	NNG
경주여행	36	잔치국수	NNP
경주여행	36	교동	NNP
경주여행	36	법주	NNP
경주여행	36	신라	NNP
경주여행	36	밀면	NNP
경주여행	36	에요	EF
경주여행	36	플레이스	NNG
경주여행	36	불국사	NNP
경주여행	37	일정	NNG
경주여행	37	도와	VV+EC
경주여행	37	세요	EP+EF
경주여행	37	그냥	MAG
경주여행	37	최소한	NNG
경주여행	37	움직임	NNG
경주여행	37	으로	JKB
경주여행	37	이틀	NNG
경주여행	37	동안	NNG
경주여행	37	다녀올	VV+ETM
경주여행	37	코스	NNG
경주여행	37	알려	VV+EC
경주여행	37	세요	EP+EF
경주여행	37	예쁜	VA+ETM
경주여행	37	카페	NNP
경주여행	37	추천	NNG
경주여행	37	질문	NNG
경주여행	37	일정	NNG
경주여행	37	관련	NNG
경주여행	37	답변	NNG
경주여행	37	드리	VV
경주여행	37	도록	EC
경주여행	37	습니다	EF
경주여행	37	문자	NNG
경주여행	37	께서	JKS
경주여행	37	대로	NNB
경주여행	37	최대한	NNG
경주여행	37	여유	NNG
경주여행	37	로운	XSA+ETM
경주여행	37	일정	NNG
경주여행	37	준비	NNG
경주여행	38	려는데	EC
경주여행	38	추천	NNG
경주여행	38	엄마	NNG
경주여행	38	혼자	NNG
경주여행	38	아들	NNG
경주여행	38	데리	VV
경주여행	38	정도	NNG
경주여행	38	다녀온	VV+ETM
경주여행	38	은데요	EC
경주여행	38	구체	NNG
경주여행	38	일정	NNG
경주여행	38	어서	EC
경주여행	38	코스	NNG
경주여행	38	맛집	NNG
경주여행	38	숙소	NNG
경주여행	38	대한	VV+ETM
경주여행	38	경험담	NNG
경주여행	38	어서	EC
경주여행	38	소개	NNG
경주여행	38	할게요	XSV+EC
